#start_noed, end_node
0	23
0	24
0	25
1	184
1	185
1	186
2	39
3	89
4	203
4	204
5	208
5	209
6	16
6	17
7	35
8	73
8	74
8	75
9	108
9	109
10	65
11	98
11	99
11	100
12	41
12	42
12	43
13	56
14	197
15	7
15	8
15	9
16	140
16	141
17	240
17	241
18	22
18	24
18	25
19	95
19	96
20	129
20	130
20	131
21	190
22	1
23	19
23	20
23	21
24	45
24	46
24	47
25	215
25	216
25	217
26	72
26	74
26	75
27	135
28	167
28	168
29	54
30	85
30	86
30	87
31	126
31	127
32	102
32	103
33	145
33	146
33	147
34	6
34	8
34	9
35	173
35	174
35	175
36	44
36	46
36	47
37	137
37	138
38	3
38	4
38	5
39	113
39	114
40	13
40	14
41	112
41	114
42	116
43	247
43	248
43	249
44	22
44	23
44	25
45	37
46	128
46	130
46	131
47	211
47	212
47	213
48	52
49	58
49	59
49	60
50	62
50	63
51	49
51	50
52	160
52	161
52	162
53	30
53	31
54	101
54	103
55	12
55	14
56	166
56	168
57	48
57	50
58	84
58	86
58	87
59	101
59	102
60	170
60	171
61	48
61	49
62	71
63	228
64	11
65	144
65	146
65	147
66	120
66	121
67	128
67	129
67	131
68	210
68	212
68	213
69	223
69	224
70	61
70	63
71	172
71	174
71	175
72	6
72	7
72	9
73	27
73	28
74	154
74	155
74	156
75	158
76	88
77	119
77	121
78	164
78	165
79	199
79	200
79	201
80	157
81	172
81	173
81	175
82	192
82	193
83	237
83	238
84	29
84	31
85	57
85	59
85	60
86	191
86	193
87	227
88	2
88	4
88	5
89	77
89	78
89	79
90	144
90	145
90	147
91	234
91	235
92	123
92	124
93	222
93	224
94	18
94	20
94	21
95	122
95	124
96	128
96	129
96	130
97	10
98	159
98	161
98	162
99	169
99	171
100	243
100	244
100	245
101	33
102	53
103	57
103	58
103	60
104	136
104	138
105	210
105	211
105	213
106	230
106	231
106	232
107	6
107	7
107	8
108	118
109	153
109	155
109	156
110	112
110	113
111	219
111	220
111	221
112	38
113	40
113	42
113	43
114	111
115	40
115	41
115	43
116	153
116	154
116	156
117	107
117	109
118	246
118	248
118	249
119	67
119	68
119	69
120	76
120	78
120	79
121	151
121	152
122	93
123	94
123	96
124	226
125	29
125	30
126	191
126	192
127	236
127	238
128	18
128	19
128	21
129	44
129	45
129	47
130	66
130	68
130	69
131	94
131	95
132	177
132	178
133	239
133	241
134	26
134	28
135	236
135	237
136	36
137	105
137	106
138	214
138	216
138	217
139	15
139	17
140	229
140	231
140	232
141	246
141	247
141	249
142	233
142	235
143	242
143	244
143	245
144	32
145	64
146	91
147	169
147	170
148	218
148	220
148	221
149	229
149	230
149	232
150	119
150	120
151	163
151	165
152	222
152	223
153	72
153	73
153	75
154	107
154	108
155	115
156	166
156	167
157	72
157	73
157	74
158	81
158	82
158	83
159	51
160	97
160	99
160	100
161	176
161	178
162	180
163	76
163	77
163	79
164	150
164	152
165	182
166	26
166	27
167	55
168	153
168	154
168	155
169	57
169	58
169	59
170	97
170	98
170	100
171	144
171	145
171	146
172	34
173	70
174	80
174	82
174	83
175	239
175	240
176	133
177	159
177	160
177	162
178	214
178	215
178	217
179	159
179	160
179	161
180	183
180	185
180	186
181	163
181	164
182	202
182	204
183	0
184	179
185	214
185	215
185	216
186	242
186	243
186	245
187	198
187	200
187	201
188	229
188	230
188	231
189	18
189	19
189	20
190	242
190	243
190	244
191	80
191	81
191	83
192	84
192	85
192	87
193	125
193	127
194	225
195	233
195	234
196	12
196	13
197	202
197	203
198	76
198	77
198	78
199	188
200	206
201	207
201	209
202	2
202	3
202	5
203	181
204	196
205	198
205	199
205	201
206	210
206	211
206	212
207	2
207	3
207	4
208	198
208	199
208	200
209	218
209	219
209	221
210	44
210	45
210	46
211	66
211	67
211	69
212	104
212	106
213	205
214	22
214	23
214	24
215	136
215	137
216	176
216	177
217	183
217	184
217	186
218	110
219	149
220	207
220	208
221	246
221	247
221	248
222	66
222	67
222	68
223	92
224	150
224	151
225	122
225	123
226	195
227	61
227	62
228	84
228	85
228	86
229	104
229	105
230	139
230	141
231	148
232	187
233	90
234	143
235	194
236	80
236	81
236	82
237	125
237	126
238	134
239	15
239	16
240	132
241	172
241	173
241	174
242	97
242	98
242	99
243	142
244	183
244	184
244	185
245	189
246	40
246	41
246	42
247	117
248	139
248	140
249	218
249	219
249	220
